park,hour,weekday,season,Term,cars
North,7,Thursday,Winter,1.0,
North,7,Thursday,Winter,2.0,96.0
North,7,Friday,Fall,0.0,112.0
North,7,Friday,Fall,1.0,
North,7,Friday,Fall,2.0,114.0
North,7,Friday,Spring,0.0,120.0
North,7,Friday,Spring,1.0,121.0
North,7,Friday,Spring,2.0,122.0
North,7,Friday,Summer,0.0,110.0
North,7,Friday,Summer,1.0,108.0
North,7,Friday,Summer,2.0,
North,7,Friday,Winter,0.0,48.0
North,7,Friday,Winter,1.0,
North,7,Friday,Winter,2.0,108.0
North,7,Saturday,Fall,0.0,70.0
North,7,Saturday,Fall,1.0,
North,7,Saturday,Fall,2.0,67.0
North,7,Saturday,Spring,0.0,49.0
North,7,Saturday,Spring,1.0,50.0
North,7,Saturday,Spring,2.0,58.0
North,7,Saturday,Summer,0.0,40.0
North,7,Saturday,Summer,1.0,47.0
North,7,Saturday,Summer,2.0,
North,7,Saturday,Winter,0.0,24.0
North,7,Saturday,Winter,1.0,
North,7,Saturday,Winter,2.0,56.0
North,7,Sunday,Fall,0.0,78.0
North,7,Sunday,Fall,1.0,
North,7,Sunday,Fall,2.0,75.0
North,7,Sunday,Spring,0.0,46.0
North,7,Sunday,Spring,1.0,37.0
North,7,Sunday,Spring,2.0,42.0
North,7,Sunday,Summer,0.0,38.0
North,7,Sunday,Summer,1.0,40.0
North,7,Sunday,Summer,2.0,
North,7,Sunday,Winter,0.0,24.0
North,7,Sunday,Winter,1.0,
North,7,Sunday,Winter,2.0,47.0
North,8,Monday,Fall,0.0,12.0
North,8,Monday,Fall,1.0,
North,8,Monday,Fall,2.0,143.0
North,8,Monday,Spring,0.0,130.0
North,8,Monday,Spring,1.0,104.0
North,8,Monday,Spring,2.0,143.0
North,8,Monday,Summer,0.0,107.0
North,8,Monday,Summer,1.0,110.0
North,8,Monday,Summer,2.0,
North,8,Monday,Winter,0.0,35.0
North,8,Monday,Winter,1.0,
North,8,Monday,Winter,2.0,125.0
North,8,Tuesday,Fall,0.0,
North,8,Tuesday,Fall,1.0,
North,8,Tuesday,Fall,2.0,228.0
North,8,Tuesday,Spring,0.0,150.0
