"TimestampUnix","Vehicles","Parkade"
"1717927140",35,"West"
"1717930740",33,"West"
"1717934340",33,"West"
"1717937940",34,"West"
"1717941540",39,"West"
"1717945140",43,"West"
"1717948740",58,"West"
"1717952340",58,"West"
"1717955940",70,"West"
"1717959540",76,"West"
"1717963140",97,"West"
"1717966740",136,"West"
"1717970340",158,"West"
"1717973940",182,"West"
"1717977540",139,"West"
"1717981140",114,"West"
"1717984740",80,"West"
"1717988340",56,"West"
"1717991940",42,"West"
"1717995540",35,"West"
"1717999140",38,"West"
"1718002740",49,"West"
"1718006340",50,"West"
"1718009940",52,"West"
"1718013540",0,"West"
"1718017140",0,"West"
"1718020740",0,"West"
"1718024340",13,"West"
"1718027940",81,"West"
"1718031540",167,"West"
"1718035140",337,"West"
"1718038740",448,"West"
"1718042340",470,"West"
"1718045940",465,"West"
"1718049540",473,"West"
"1718053140",468,"West"
"1718056740",451,"West"
"1718060340",291,"West"
"1718063940",179,"West"
"1718067540",81,"West"
"1718071140",52,"West"
"1718074740",32,"West"
"1718078340",26,"West"
"1718081940",15,"West"
"1718085540",0,"West"
"1718089140",1,"West"
"1718092740",1,"West"
"1718096340",2,"West"
"1718099940",0,"West"
"1718103540",0,"West"
"1718107140",0,"West"
"1718110740",20,"West"
"1718114340",105,"West"
"1718117940",185,"West"
"1718121540",364,"West"
"1718125140",521,"West"
"1718128740",565,"West"
"1718132340",572,"West"
"1718135940",580,"West"
"1718139540",559,"West"
"1718143140",510,"West"
"1718146740",368,"West"
"1718150340",190,"West"
"1718153940",116,"West"
"1718157540",74,"West"
"1718161140",55,"West"
"1718164740",40,"West"
"1718168340",24,"West"
"1718171940",3,"West"
"1718175540",4,"West"
"1718179140",4,"West"
"1718182740",2,"West"
"1718186340",5,"West"
"1718189940",5,"West"
"1718193540",7,"West"
"1718197140",16,"West"
"1718200740",93,"West"
"1718204340",181,"West"
"1718207940",341,"West"
"1718211540",456,"West"
"1718215140",497,"West"
"1718218740",492,"West"
"1718222340",493,"West"
"1718225940",469,"West"
"1718229540",466,"West"
"1718233140",338,"West"
"1718236740",200,"West"
"1718240340",126,"West"
"1718243940",88,"West"
"1718247540",66,"West"
"1718251140",59,"West"
"1718254740",42,"West"
"1718258340",18,"West"
"1718261940",10,"West"
"1718265540",11,"West"
"1718269140",7,"West"
"1718272740",9,"West"
"1718276340",10,"West"
"1718279940",8,"West"
"1718283540",25,"West"
"1718287140",99,"West"
"1718290740",182,"West"
"1718294340",317,"West"
"1718297940",426,"West"
"1718301540",472,"West"
"1718305140",486,"West"
"1718308740",489,"West"
"1718312340",486,"West"
"1718315940",457,"West"
"1718319540",327,"West"
"1718323140",184,"West"
"1718326740",123,"West"
"1718330340",100,"West"
"1718333940",72,"West"
"1718337540",52,"West"
"1718341140",34,"West"
"1718344740",15,"West"
"1718348340",12,"West"
"1718351940",9,"West"
"1718355540",10,"West"
"1718359140",11,"West"
"1718362080",11,"West"
"1718387940",326,"West"
"1718387940",326,"West"
"1718391540",307,"West"
"1718391540",307,"West"
"1718395140",299,"West"
"1718395140",299,"West"
"1718398740",288,"West"
"1718398740",288,"West"
"1718402340",264,"West"
"1718402340",264,"West"
"1718402820",251,"West"
"1718402820",251,"West"
"1718431140",0,"West"
"1718434740",7,"West"
"1718438340",7,"West"
"1718441940",11,"West"
"1718445540",11,"West"
"1718449140",14,"West"
"1718452740",20,"West"
"1718456340",21,"West"
"1718459940",31,"West"
"1718463540",31,"West"
"1718467140",30,"West"
"1718470740",33,"West"
"1718474340",36,"West"
"1718477940",32,"West"
"1718481540",34,"West"
"1718485140",27,"West"
"1718488740",32,"West"
"1718492340",24,"West"
"1718495940",18,"West"
"1718499540",12,"West"
"1718503140",2,"West"
"1718506740",1,"West"
"1718510340",5,"West"
"1718513940",6,"West"
"1718517540",8,"West"
"1718521140",11,"West"
"1718524740",14,"West"
"1718528340",14,"West"
"1718531940",16,"West"
"1718535540",16,"West"
"1718539140",17,"West"
"1718542740",16,"West"
"1718546340",18,"West"
"1718549940",23,"West"
"1718553540",33,"West"
"1718557140",54,"West"
"1718560740",40,"West"
"1718564340",27,"West"
"1718567940",21,"West"
"1718571540",23,"West"
"1718575140",30,"West"
"1718578740",26,"West"
"1718582340",18,"West"
"1718585940",19,"West"
"1718589540",9,"West"
"1718593140",13,"West"
"1718596740",22,"West"
"1718600340",24,"West"
"1718603940",26,"West"
"1718607540",29,"West"
"1718611140",36,"West"
"1718614740",36,"West"
"1718618340",0,"West"
"1718621940",1,"West"
"1718625540",2,"West"
"1718629140",15,"West"
"1718632740",78,"West"
"1718636340",168,"West"
"1718639940",297,"West"
"1718643540",358,"West"
"1718647140",401,"West"
"1718650740",410,"West"
"1718654340",419,"West"
"1718657940",412,"West"
"1718661540",383,"West"
"1718665140",247,"West"
"1718668740",153,"West"
"1718672340",78,"West"
"1718675940",54,"West"
"1718679540",34,"West"
"1718683140",35,"West"
"1718686740",23,"West"
"1718690340",11,"West"
"1718693940",0,"West"
"1718697540",2,"West"
"1718701140",3,"West"
"1718704740",4,"West"
"1718708340",5,"West"
"1718711940",5,"West"
"1718715540",21,"West"
"1718719140",105,"West"
"1718722740",194,"West"
"1718726340",355,"West"
"1718729940",463,"West"
"1718733540",502,"West"
"1718737140",510,"West"
"1718740740",499,"West"
"1718744340",504,"West"
"1718747940",478,"West"
"1718751540",323,"West"
"1718755140",158,"West"
"1718758740",102,"West"
"1718762340",70,"West"
"1718765940",56,"West"
"1718769540",35,"West"
"1718773140",14,"West"
"1718776740",3,"West"
"1718780340",4,"West"
"1718783940",2,"West"
"1718787540",0,"West"
"1718791140",0,"West"
"1718794740",1,"West"
"1718798340",1,"West"
"1718801940",16,"West"
"1718805540",82,"West"
"1718809140",166,"West"
"1718812740",329,"West"
"1718816340",429,"West"
"1718819940",468,"West"
"1718823540",493,"West"
"1718827140",489,"West"
"1718830740",507,"West"
"1718834340",473,"West"
"1718837940",356,"West"
"1718841540",212,"West"
"1718845140",145,"West"
"1718848740",106,"West"
"1718852340",76,"West"
"1718855940",43,"West"
"1718859540",11,"West"
"1718863140",11,"West"
"1718866740",3,"West"
"1718870340",1,"West"
"1718873940",1,"West"
"1718877540",2,"West"
"1718881140",0,"West"
"1718884740",0,"West"
"1718884800",0,"West"
"1717160340",110,"Rose"
"1717163940",102,"Rose"
"1717167540",90,"Rose"
"1717171140",90,"Rose"
"1717174740",49,"Rose"
"1717178340",28,"Rose"
"1717181940",10,"Rose"
"1717185540",9,"Rose"
"1717189140",0,"Rose"
"1717192740",1,"Rose"
"1717196340",5,"Rose"
"1717199940",3,"Rose"
"1717203540",2,"Rose"
"1717207140",2,"Rose"
"1717210740",2,"Rose"
"1717214340",2,"Rose"
"1717217940",3,"Rose"
"1717221540",3,"Rose"
"1717225140",2,"Rose"
"1717228740",3,"Rose"
"1717232340",8,"Rose"
"1717235940",17,"Rose"
"1717239540",40,"Rose"
"1717243140",156,"Rose"
"1717246740",220,"Rose"
"1717250340",236,"Rose"
"1717253940",243,"Rose"
"1717257540",56,"Rose"
"1717261140",45,"Rose"
"1717264740",37,"Rose"
"1717268340",30,"Rose"
"1717271940",29,"Rose"
"1717275540",30,"Rose"
